SE5_A#1_run2,SE5_A#1_run2,SE5_A#1_run2,SE5_A#1_run4,SE5_A#1_run4,SE5_A#1_run4,SE5_B#2_run5,SE5_B#2_run5,SE5_B#2_run5,SE5_B#2_run6,SE5_B#2_run6,SE5_B#2_run6,SE5_B#1_run7,SE5_B#1_run7,SE5_B#1_run7,SE5_B#1_run8,SE5_B#1_run8,SE5_B#1_run8,SE5_E#1_run1,SE5_E#1_run1,SE5_E#1_run1,SE5_E#1_run2,SE5_E#1_run2,SE5_E#1_run2,SE5_E#2_run3,SE5_E#2_run3,SE5_E#2_run3,SE5_E#2_run4,SE5_E#2_run4,SE5_E#2_run4
Force,Distance,Time,Force,Distance,Time,Force,Distance,Time,Force,Distance,Time,Force,Distance,Time,Force,Distance,Time,Force,Distance,Time,Force,Distance,Time,Force,Distance,Time,Force,Distance,Time
mN,mm,sec,mN,mm,sec,mN,mm,sec,mN,mm,sec,mN,mm,sec,mN,mm,sec,mN,mm,sec,mN,mm,sec,mN,mm,sec,mN,mm,sec
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.26606,1.147,114.8,0.483861,1.147,114.8,0.725791,1.147,114.8,0.604826,1.147,114.8,0.24193,1.147,114.8,0.362896,1.147,114.8,0.604826,1.147,114.8,0.362896,1.147,114.8,0,1.147,114.8,0.483861,1.147,114.8
3.1451,1.149,115,0.483861,1.149,115,0.725791,1.149,115,0.604826,1.149,115,0.24193,1.149,115,0.120965,1.149,115,0.604826,1.149,115,0.483861,1.149,115,0,1.149,115,0.483861,1.149,115
3.26606,1.151,115.2,0.362896,1.151,115.2,0.846757,1.151,115.2,0.604826,1.151,115.2,0.24193,1.151,115.2,0.362896,1.151,115.2,0.604826,1.151,115.2,0.483861,1.151,115.2,0,1.151,115.2,0.483861,1.151,115.2
3.1451,1.153,115.4,0.483861,1.153,115.4,0.725791,1.153,115.4,0.604826,1.153,115.4,0.24193,1.153,115.4,0.24193,1.153,115.4,0.725791,1.153,115.4,0.362896,1.153,115.4,0,1.153,115.4,0.483861,1.153,115.4
3.1451,1.155,115.6,0.483861,1.155,115.6,0.725791,1.155,115.6,0.604826,1.155,115.6,0.362896,1.155,115.6,0.362896,1.155,115.6,0.604826,1.155,115.6,0.362896,1.155,115.6,0,1.155,115.6,0.483861,1.155,115.6
3.26606,1.157,115.8,0.483861,1.157,115.8,0.846757,1.157,115.8,0.604826,1.157,115.8,0.24193,1.157,115.8,0.24193,1.157,115.8,0.604826,1.157,115.8,0.362896,1.157,115.8,0,1.157,115.8,0.604826,1.157,115.8
3.26606,1.159,116,0.483861,1.159,116,0.846757,1.159,116,0.604826,1.159,116,0.24193,1.159,116,0.362896,1.159,116,0.604826,1.159,116,0.362896,1.159,116,0,1.159,116,0.604826,1.159,116
3.1451,1.161,116.2,0.362896,1.161,116.2,0.846757,1.161,116.2,0.483861,1.161,116.2,0.483861,1.161,116.2,0.362896,1.161,116.2,0.483861,1.161,116.2,0.362896,1.161,116.2,0,1.161,116.2,0.604826,1.161,116.2
3.02413,1.163,116.4,0.483861,1.163,116.4,0.846757,1.163,116.4,0.725791,1.163,116.4,0.483861,1.163,116.4,0.362896,1.163,116.4,0.725791,1.163,116.4,0.604826,1.163,116.4,0,1.163,116.4,0.483861,1.163,116.4
3.26606,1.165,116.6,0.604826,1.165,116.6,0.967722,1.165,116.6,0.725791,1.165,116.6,0.24193,1.165,116.6,0.362896,1.165,116.6,0.725791,1.165,116.6,0.362896,1.165,116.6,0,1.165,116.6,0.483861,1.165,116.6
3.02413,1.167,116.8,0.483861,1.167,116.8,0.967722,1.167,116.8,0.725791,1.167,116.8,0.362896,1.167,116.8,0.483861,1.167,116.8,0.604826,1.167,116.8,0.483861,1.167,116.8,0,1.167,116.8,0.483861,1.167,116.8
3.1451,1.169,117,0.483861,1.169,117,1.08869,1.169,117,0.725791,1.169,117,0.362896,1.169,117,0.362896,1.169,117,0.604826,1.169,117,0.604826,1.169,117,0,1.169,117,0.604826,1.169,117
3.1451,1.171,117.2,0.604826,1.171,117.2,0.967722,1.171,117.2,0.725791,1.171,117.2,0.362896,1.171,117.2,0.362896,1.171,117.2,0.846757,1.171,117.2,0.483861,1.171,117.2,0,1.171,117.2,0.604826,1.171,117.2
3.1451,1.173,117.4,0.604826,1.173,117.4,0.967722,1.173,117.4,0.846757,1.173,117.4,0.24193,1.173,117.4,0.362896,1.173,117.4,0.725791,1.173,117.4,0.483861,1.173,117.4,0,1.173,117.4,0.604826,1.173,117.4
3.1451,1.175,117.6,0.604826,1.175,117.6,0.967722,1.175,117.6,0.846757,1.175,117.6,0.24193,1.175,117.6,0.362896,1.175,117.6,0.725791,1.175,117.6,0.483861,1.175,117.6,0,1.175,117.6,0.604826,1.175,117.6
3.1451,1.177,117.8,0.604826,1.177,117.8,0.967722,1.177,117.8,0.725791,1.177,117.8,0.483861,1.177,117.8,0.483861,1.177,117.8,0.604826,1.177,117.8,0.483861,1.177,117.8,0,1.177,117.8,0.604826,1.177,117.8
3.02413,1.179,118,0.725791,1.179,118,0.967722,1.179,118,0.846757,1.179,118,0.362896,1.179,118,0.483861,1.179,118,0.846757,1.179,118,0.483861,1.179,118,0,1.179,118,0.604826,1.179,118
3.02413,1.181,118.2,0.604826,1.181,118.2,0.967722,1.181,118.2,0.846757,1.181,118.2,0.362896,1.181,118.2,0.483861,1.181,118.2,0.725791,1.181,118.2,0.604826,1.181,118.2,0,1.181,118.2,0.604826,1.181,118.2
3.1451,1.183,118.4,0.604826,1.183,118.4,0.967722,1.183,118.4,0.967722,1.183,118.4,0.362896,1.183,118.4,0.483861,1.183,118.4,0.725791,1.183,118.4,0.604826,1.183,118.4,0,1.183,118.4,0.725791,1.183,118.4
3.1451,1.185,118.6,0.604826,1.185,118.6,1.08869,1.185,118.6,0.967722,1.185,118.6,0.362896,1.185,118.6,0.483861,1.185,118.6,0.725791,1.185,118.6,0.483861,1.185,118.6,0,1.185,118.6,0.725791,1.185,118.6
3.02413,1.187,118.8,0.725791,1.187,118.8,1.08869,1.187,118.8,0.967722,1.187,118.8,0.483861,1.187,118.8,0.362896,1.187,118.8,0.725791,1.187,118.8,0.604826,1.187,118.8,0,1.187,118.8,0.725791,1.187,118.8
3.1451,1.189,119,0.604826,1.189,119,1.08869,1.189,119,0.967722,1.189,119,0.362896,1.189,119,0.362896,1.189,119,0.725791,1.189,119,0.725791,1.189,119,0,1.189,119,0.725791,1.189,119
3.1451,1.191,119.2,0.604826,1.191,119.2,1.08869,1.191,119.2,0.967722,1.191,119.2,0.362896,1.191,119.2,0.483861,1.191,119.2,0.846757,1.191,119.2,0.604826,1.191,119.2,0,1.191,119.2,0.725791,1.191,119.2
3.1451,1.193,119.4,0.604826,1.193,119.4,1.08869,1.193,119.4,1.08869,1.193,119.4,0.483861,1.193,119.4,0.483861,1.193,119.4,0.846757,1.193,119.4,0.604826,1.193,119.4,0,1.193,119.4,0.725791,1.193,119.4
3.02413,1.195,119.6,0.725791,1.195,119.6,1.20965,1.195,119.6,0.967722,1.195,119.6,0.483861,1.195,119.6,0.604826,1.195,119.6,0.846757,1.195,119.6,0.604826,1.195,119.6,0,1.195,119.6,0.725791,1.195,119.6
3.1451,1.197,119.8,0.725791,1.197,119.8,1.08869,1.197,119.8,1.20965,1.197,119.8,0.362896,1.197,119.8,0.604826,1.197,119.8,0.846757,1.197,119.8,0.604826,1.197,119.8,0,1.197,119.8,0.725791,1.197,119.8
3.02413,1.199,120,0.604826,1.199,120,1.20965,1.199,120,0.967722,1.199,120,0.483861,1.199,120,0.604826,1.199,120,0.846757,1.199,120,0.604826,1.199,120,0,1.199,120,0.725791,1.199,120
3.1451,1.201,120.2,0.725791,1.201,120.2,1.20965,1.201,120.2,0.967722,1.201,120.2,0.483861,1.201,120.2,0.483861,1.201,120.2,0.967722,1.201,120.2,0.725791,1.201,120.2,0,1.201,120.2,0.725791,1.201,120.2
3.1451,1.203,120.4,0.846757,1.203,120.4,1.33062,1.203,120.4,0.967722,1.203,120.4,0.604826,1.203,120.4,0.604826,1.203,120.4,0.846757,1.203,120.4,0.604826,1.203,120.4,0,1.203,120.4,0.846757,1.203,120.4
3.1451,1.205,120.6,0.846757,1.205,120.6,1.20965,1.205,120.6,0.967722,1.205,120.6,0.604826,1.205,120.6,0.604826,1.205,120.6,0.846757,1.205,120.6,0.604826,1.205,120.6,0,1.205,120.6,0.846757,1.205,120.6
3.1451,1.207,120.8,0.725791,1.207,120.8,1.33062,1.207,120.8,0.967722,1.207,120.8,0.604826,1.207,120.8,0.483861,1.207,120.8,1.08869,1.207,120.8,0.604826,1.207,120.8,0,1.207,120.8,0.846757,1.207,120.8
3.02413,1.209,121,0.725791,1.209,121,1.45158,1.209,121,1.08869,1.209,121,0.604826,1.209,121,0.725791,1.209,121,0.967722,1.209,121,0.725791,1.209,121,0,1.209,121,0.846757,1.209,121
3.1451,1.211,121.2,0.725791,1.211,121.2,1.33062,1.211,121.2,1.08869,1.211,121.2,0.362896,1.211,121.2,0.604826,1.211,121.2,0.967722,1.211,121.2,0.725791,1.211,121.2,0,1.211,121.2,0.846757,1.211,121.2
3.1451,1.213,121.4,0.725791,1.213,121.4,1.33062,1.213,121.4,1.08869,1.213,121.4,0.604826,1.213,121.4,0.725791,1.213,121.4,1.08869,1.213,121.4,0.725791,1.213,121.4,0.120965,1.213,121.4,0.967722,1.213,121.4
3.02413,1.215,121.6,0.846757,1.215,121.6,1.33062,1.215,121.6,1.20965,1.215,121.6,0.604826,1.215,121.6,0.604826,1.215,121.6,0.967722,1.215,121.6,0.604826,1.215,121.6,0,1.215,121.6,0.967722,1.215,121.6
3.1451,1.217,121.8,0.846757,1.217,121.8,1.33062,1.217,121.8,1.20965,1.217,121.8,0.725791,1.217,121.8,0.846757,1.217,121.8,0.967722,1.217,121.8,0.725791,1.217,121.8,0,1.217,121.8,0.846757,1.217,121.8
3.1451,1.219,122,0.846757,1.219,122,1.45158,1.219,122,1.08869,1.219,122,0.604826,1.219,122,0.725791,1.219,122,1.08869,1.219,122,0.846757,1.219,122,0,1.219,122,0.846757,1.219,122
3.1451,1.221,122.2,0.846757,1.221,122.2,1.33062,1.221,122.2,1.20965,1.221,122.2,0.725791,1.221,122.2,0.725791,1.221,122.2,0.967722,1.221,122.2,0.846757,1.221,122.2,0,1.221,122.2,0.846757,1.221,122.2
3.1451,1.223,122.4,0.967722,1.223,122.4,1.45158,1.223,122.4,1.08869,1.223,122.4,0.725791,1.223,122.4,0.725791,1.223,122.4,0.967722,1.223,122.4,0.725791,1.223,122.4,0,1.223,122.4,0.967722,1.223,122.4
3.1451,1.225,122.6,0.846757,1.225,122.6,1.57255,1.225,122.6,1.20965,1.225,122.6,0.725791,1.225,122.6,0.725791,1.225,122.6,1.08869,1.225,122.6,0.725791,1.225,122.6,-0.120965,1.225,122.6,0.967722,1.225,122.6
3.1451,1.227,122.8,0.967722,1.227,122.8,1.45158,1.227,122.8,1.20965,1.227,122.8,0.725791,1.227,122.8,0.725791,1.227,122.8,1.08869,1.227,122.8,0.846757,1.227,122.8,0,1.227,122.8,0.967722,1.227,122.8
3.1451,1.229,123,0.846757,1.229,123,1.57255,1.229,123,1.33062,1.229,123,0.725791,1.229,123,0.846757,1.229,123,1.08869,1.229,123,0.846757,1.229,123,0,1.229,123,0.967722,1.229,123
3.1451,1.231,123.2,0.846757,1.231,123.2,1.57255,1.231,123.2,1.33062,1.231,123.2,0.725791,1.231,123.2,0.846757,1.231,123.2,1.08869,1.231,123.2,0.846757,1.231,123.2,0,1.231,123.2,0.967722,1.231,123.2
3.26606,1.233,123.4,0.967722,1.233,123.4,1.57255,1.233,123.4,1.20965,1.233,123.4,0.725791,1.233,123.4,0.846757,1.233,123.4,1.08869,1.233,123.4,0.846757,1.233,123.4,0,1.233,123.4,1.08869,1.233,123.4
3.02413,1.235,123.6,0.846757,1.235,123.6,1.57255,1.235,123.6,1.33062,1.235,123.6,0.725791,1.235,123.6,0.846757,1.235,123.6,1.08869,1.235,123.6,0.967722,1.235,123.6,0,1.235,123.6,1.08869,1.235,123.6
3.1451,1.237,123.8,0.846757,1.237,123.8,1.57255,1.237,123.8,1.45158,1.237,123.8,0.846757,1.237,123.8,0.967722,1.237,123.8,1.20965,1.237,123.8,0.967722,1.237,123.8,0,1.237,123.8,1.20965,1.237,123.8
3.26606,1.239,124,0.967722,1.239,124,1.57255,1.239,124,1.33062,1.239,124,0.725791,1.239,124,0.967722,1.239,124,1.20965,1.239,124,0.967722,1.239,124,0,1.239,124,1.08869,1.239,124
3.26606,1.241,124.2,0.967722,1.241,124.2,1.69351,1.241,124.2,1.45158,1.241,124.2,0.846757,1.241,124.2,0.967722,1.241,124.2,1.20965,1.241,124.2,0.967722,1.241,124.2,0,1.241,124.2,1.08869,1.241,124.2
3.1451,1.243,124.4,0.967722,1.243,124.4,1.81448,1.243,124.4,1.45158,1.243,124.4,0.846757,1.243,124.4,0.846757,1.243,124.4,1.20965,1.243,124.4,1.08869,1.243,124.4,0,1.243,124.4,1.08869,1.243,124.4
3.26606,1.245,124.6,1.08869,1.245,124.6,1.81448,1.245,124.6,1.33062,1.245,124.6,0.846757,1.245,124.6,0.967722,1.245,124.6,1.20965,1.245,124.6,1.08869,1.245,124.6,0,1.245,124.6,1.20965,1.245,124.6
3.26606,1.247,124.8,0.967722,1.247,124.8,1.69351,1.247,124.8,1.45158,1.247,124.8,0.846757,1.247,124.8,0.967722,1.247,124.8,1.33062,1.247,124.8,0.967722,1.247,124.8,0,1.247,124.8,1.08869,1.247,124.8
3.26606,1.249,125,1.08869,1.249,125,1.81448,1.249,125,1.45158,1.249,125,0.846757,1.249,125,1.08869,1.249,125,1.33062,1.249,125,0.967722,1.249,125,0,1.249,125,1.20965,1.249,125
3.38703,1.251,125.2,1.20965,1.251,125.2,1.93544,1.251,125.2,1.45158,1.251,125.2,0.846757,1.251,125.2,1.08869,1.251,125.2,1.33062,1.251,125.2,0.967722,1.251,125.2,0,1.251,125.2,1.20965,1.251,125.2
3.26606,1.253,125.4,0.967722,1.253,125.4,1.81448,1.253,125.4,1.57255,1.253,125.4,0.846757,1.253,125.4,1.08869,1.253,125.4,1.33062,1.253,125.4,0.967722,1.253,125.4,0,1.253,125.4,1.20965,1.253,125.4
3.38703,1.255,125.6,0.967722,1.255,125.6,1.93544,1.255,125.6,1.57255,1.255,125.6,0.967722,1.255,125.6,1.08869,1.255,125.6,1.45158,1.255,125.6,1.08869,1.255,125.6,0,1.255,125.6,1.20965,1.255,125.6
3.38703,1.257,125.8,0.967722,1.257,125.8,2.05641,1.257,125.8,1.57255,1.257,125.8,0.967722,1.257,125.8,1.08869,1.257,125.8,1.33062,1.257,125.8,1.08869,1.257,125.8,0,1.257,125.8,1.20965,1.257,125.8
3.26606,1.259,126,1.08869,1.259,126,1.93544,1.259,126,1.45158,1.259,126,0.967722,1.259,126,1.08869,1.259,126,1.45158,1.259,126,1.08869,1.259,126,0,1.259,126,1.20965,1.259,126
3.38703,1.261,126.2,0.967722,1.261,126.2,2.05641,1.261,126.2,1.69351,1.261,126.2,0.967722,1.261,126.2,1.08869,1.261,126.2,1.33062,1.261,126.2,1.08869,1.261,126.2,0,1.261,126.2,1.20965,1.261,126.2
3.26606,1.263,126.4,1.08869,1.263,126.4,2.05641,1.263,126.4,1.57255,1.263,126.4,1.08869,1.263,126.4,1.08869,1.263,126.4,1.45158,1.263,126.4,1.08869,1.263,126.4,0,1.263,126.4,1.20965,1.263,126.4
3.38703,1.265,126.6,1.20965,1.265,126.6,2.05641,1.265,126.6,1.69351,1.265,126.6,1.08869,1.265,126.6,1.08869,1.265,126.6,1.33062,1.265,126.6,1.08869,1.265,126.6,0,1.265,126.6,1.33062,1.265,126.6
3.26606,1.267,126.8,1.08869,1.267,126.8,2.05641,1.267,126.8,1.69351,1.267,126.8,0.967722,1.267,126.8,1.20965,1.267,126.8,1.33062,1.267,126.8,1.20965,1.267,126.8,0,1.267,126.8,1.45158,1.267,126.8
3.38703,1.269,127,1.20965,1.269,127,2.05641,1.269,127,1.69351,1.269,127,1.08869,1.269,127,1.20965,1.269,127,1.45158,1.269,127,1.20965,1.269,127,0,1.269,127,1.33062,1.269,127
3.38703,1.271,127.2,1.20965,1.271,127.2,2.05641,1.271,127.2,1.81448,1.271,127.2,1.08869,1.271,127.2,1.20965,1.271,127.2,1.57255,1.271,127.2,1.20965,1.271,127.2,0,1.271,127.2,1.45158,1.271,127.2
3.26606,1.273,127.4,1.20965,1.273,127.4,2.17737,1.273,127.4,1.69351,1.273,127.4,1.08869,1.273,127.4,1.33062,1.273,127.4,1.45158,1.273,127.4,1.20965,1.273,127.4,0,1.273,127.4,1.33062,1.273,127.4
3.26606,1.275,127.6,1.20965,1.275,127.6,2.17737,1.275,127.6,1.81448,1.275,127.6,1.08869,1.275,127.6,1.33062,1.275,127.6,1.69351,1.275,127.6,1.08869,1.275,127.6,0,1.275,127.6,1.33062,1.275,127.6
3.38703,1.277,127.8,1.20965,1.277,127.8,2.17737,1.277,127.8,1.69351,1.277,127.8,1.08869,1.277,127.8,1.33062,1.277,127.8,1.45158,1.277,127.8,1.20965,1.277,127.8,0,1.277,127.8,1.45158,1.277,127.8
3.38703,1.279,128,1.33062,1.279,128,2.17737,1.279,128,1.81448,1.279,128,1.08869,1.279,128,1.33062,1.279,128,1.69351,1.279,128,1.20965,1.279,128,0,1.279,128,1.45158,1.279,128
3.38703,1.281,128.2,1.20965,1.281,128.2,2.17737,1.281,128.2,1.81448,1.281,128.2,1.08869,1.281,128.2,1.20965,1.281,128.2,1.57255,1.281,128.2,1.33062,1.281,128.2,0,1.281,128.2,1.45158,1.281,128.2
3.38703,1.283,128.4,1.33062,1.283,128.4,2.29834,1.283,128.4,1.93544,1.283,128.4,1.33062,1.283,128.4,1.33062,1.283,128.4,1.57255,1.283,128.4,1.33062,1.283,128.4,0,1.283,128.4,1.45158,1.283,128.4
3.38703,1.285,128.6,1.45158,1.285,128.6,2.29834,1.285,128.6,1.93544,1.285,128.6,1.08869,1.285,128.6,1.33062,1.285,128.6,1.57255,1.285,128.6,1.20965,1.285,128.6,0,1.285,128.6,1.45158,1.285,128.6
3.38703,1.287,128.8,1.33062,1.287,128.8,2.29834,1.287,128.8,2.05641,1.287,128.8,1.20965,1.287,128.8,1.20965,1.287,128.8,1.69351,1.287,128.8,1.33062,1.287,128.8,0,1.287,128.8,1.45158,1.287,128.8
3.38703,1.289,129,1.33062,1.289,129,2.29834,1.289,129,2.05641,1.289,129,1.20965,1.289,129,1.57255,1.289,129,1.69351,1.289,129,1.33062,1.289,129,0,1.289,129,1.69351,1.289,129
3.50799,1.291,129.2,1.33062,1.291,129.2,2.4193,1.291,129.2,1.81448,1.291,129.2,1.20965,1.291,129.2,1.45158,1.291,129.2,1.69351,1.291,129.2,1.33062,1.291,129.2,0,1.291,129.2,1.45158,1.291,129.2
3.50799,1.293,129.4,1.45158,1.293,129.4,2.4193,1.293,129.4,2.05641,1.293,129.4,1.20965,1.293,129.4,1.33062,1.293,129.4,1.69351,1.293,129.4,1.33062,1.293,129.4,0,1.293,129.4,1.69351,1.293,129.4
3.50799,1.295,129.6,1.33062,1.295,129.6,2.4193,1.295,129.6,2.05641,1.295,129.6,1.20965,1.295,129.6,1.45158,1.295,129.6,1.81448,1.295,129.6,1.45158,1.295,129.6,0,1.295,129.6,1.57255,1.295,129.6
3.50799,1.297,129.8,1.33062,1.297,129.8,2.54027,1.297,129.8,2.05641,1.297,129.8,1.20965,1.297,129.8,1.45158,1.297,129.8,1.81448,1.297,129.8,1.33062,1.297,129.8,0,1.297,129.8,1.69351,1.297,129.8
3.50799,1.299,130,1.45158,1.299,130,2.4193,1.299,130,2.17737,1.299,130,1.33062,1.299,130,1.45158,1.299,130,1.69351,1.299,130,1.45158,1.299,130,0,1.299,130,1.69351,1.299,130
3.50799,1.301,130.2,1.33062,1.301,130.2,2.4193,1.301,130.2,2.05641,1.301,130.2,1.33062,1.301,130.2,1.45158,1.301,130.2,1.69351,1.301,130.2,1.57255,1.301,130.2,0,1.301,130.2,1.57255,1.301,130.2
3.50799,1.303,130.4,1.45158,1.303,130.4,2.4193,1.303,130.4,2.29834,1.303,130.4,1.45158,1.303,130.4,1.57255,1.303,130.4,1.93544,1.303,130.4,1.45158,1.303,130.4,0,1.303,130.4,1.69351,1.303,130.4
3.62896,1.305,130.6,1.45158,1.305,130.6,2.54027,1.305,130.6,2.17737,1.305,130.6,1.33062,1.305,130.6,1.57255,1.305,130.6,1.69351,1.305,130.6,1.45158,1.305,130.6,0,1.305,130.6,1.81448,1.305,130.6
3.38703,1.307,130.8,1.57255,1.307,130.8,2.66123,1.307,130.8,2.29834,1.307,130.8,1.33062,1.307,130.8,1.57255,1.307,130.8,1.81448,1.307,130.8,1.57255,1.307,130.8,0,1.307,130.8,1.69351,1.307,130.8
3.50799,1.309,131,1.57255,1.309,131,2.66123,1.309,131,2.29834,1.309,131,1.57255,1.309,131,1.69351,1.309,131,1.81448,1.309,131,1.45158,1.309,131,0,1.309,131,1.81448,1.309,131
3.62896,1.311,131.2,1.57255,1.311,131.2,2.66123,1.311,131.2,2.29834,1.311,131.2,1.45158,1.311,131.2,1.57255,1.311,131.2,1.93544,1.311,131.2,1.69351,1.311,131.2,0,1.311,131.2,1.81448,1.311,131.2
3.62896,1.313,131.4,1.57255,1.313,131.4,2.66123,1.313,131.4,2.29834,1.313,131.4,1.45158,1.313,131.4,1.57255,1.313,131.4,1.93544,1.313,131.4,1.57255,1.313,131.4,0,1.313,131.4,1.81448,1.313,131.4
3.50799,1.315,131.6,1.57255,1.315,131.6,2.7822,1.315,131.6,2.29834,1.315,131.6,1.45158,1.315,131.6,1.69351,1.315,131.6,1.93544,1.315,131.6,1.57255,1.315,131.6,0,1.315,131.6,1.81448,1.315,131.6
3.50799,1.317,131.8,1.57255,1.317,131.8,2.7822,1.317,131.8,2.29834,1.317,131.8,1.45158,1.317,131.8,1.81448,1.317,131.8,1.81448,1.317,131.8,1.57255,1.317,131.8,0,1.317,131.8,1.81448,1.317,131.8
3.74992,1.319,132,1.57255,1.319,132,2.7822,1.319,132,2.29834,1.319,132,1.57255,1.319,132,1.81448,1.319,132,1.93544,1.319,132,1.57255,1.319,132,0,1.319,132,1.81448,1.319,132
3.50799,1.321,132.2,1.57255,1.321,132.2,2.90317,1.321,132.2,2.4193,1.321,132.2,1.57255,1.321,132.2,1.81448,1.321,132.2,2.05641,1.321,132.2,1.69351,1.321,132.2,0,1.321,132.2,1.93544,1.321,132.2
3.50799,1.323,132.4,1.57255,1.323,132.4,2.90317,1.323,132.4,2.4193,1.323,132.4,1.57255,1.323,132.4,1.81448,1.323,132.4,2.05641,1.323,132.4,1.69351,1.323,132.4,0,1.323,132.4,1.93544,1.323,132.4
3.62896,1.325,132.6,1.69351,1.325,132.6,2.90317,1.325,132.6,2.4193,1.325,132.6,1.69351,1.325,132.6,1.81448,1.325,132.6,2.05641,1.325,132.6,1.69351,1.325,132.6,0,1.325,132.6,1.93544,1.325,132.6
3.50799,1.327,132.8,1.57255,1.327,132.8,2.90317,1.327,132.8,2.54027,1.327,132.8,1.57255,1.327,132.8,2.05641,1.327,132.8,2.05641,1.327,132.8,1.69351,1.327,132.8,0,1.327,132.8,2.05641,1.327,132.8
3.50799,1.329,133,1.69351,1.329,133,2.90317,1.329,133,2.66123,1.329,133,1.69351,1.329,133,1.81448,1.329,133,2.05641,1.329,133,1.57255,1.329,133,0,1.329,133,1.93544,1.329,133
3.50799,1.331,133.2,1.69351,1.331,133.2,3.02413,1.331,133.2,2.4193,1.331,133.2,1.57255,1.331,133.2,2.05641,1.331,133.2,1.93544,1.331,133.2,1.69351,1.331,133.2,0.120965,1.331,133.2,1.93544,1.331,133.2
3.74992,1.333,133.4,1.81448,1.333,133.4,3.1451,1.333,133.4,2.54027,1.333,133.4,1.69351,1.333,133.4,1.81448,1.333,133.4,2.05641,1.333,133.4,1.69351,1.333,133.4,0.120965,1.333,133.4,1.93544,1.333,133.4
3.62896,1.335,133.6,1.69351,1.335,133.6,3.1451,1.335,133.6,2.66123,1.335,133.6,1.81448,1.335,133.6,2.05641,1.335,133.6,2.17737,1.335,133.6,1.81448,1.335,133.6,0,1.335,133.6,1.93544,1.335,133.6
3.50799,1.337,133.8,1.69351,1.337,133.8,3.1451,1.337,133.8,2.54027,1.337,133.8,1.81448,1.337,133.8,1.93544,1.337,133.8,2.29834,1.337,133.8,1.93544,1.337,133.8,0,1.337,133.8,2.05641,1.337,133.8
3.62896,1.339,134,1.93544,1.339,134,3.1451,1.339,134,2.54027,1.339,134,1.81448,1.339,134,2.05641,1.339,134,2.17737,1.339,134,1.81448,1.339,134,0,1.339,134,2.05641,1.339,134
3.62896,1.341,134.2,1.81448,1.341,134.2,3.1451,1.341,134.2,2.7822,1.341,134.2,1.81448,1.341,134.2,2.05641,1.341,134.2,2.29834,1.341,134.2,1.81448,1.341,134.2,0,1.341,134.2,2.05641,1.341,134.2
3.62896,1.343,134.4,1.81448,1.343,134.4,3.1451,1.343,134.4,2.7822,1.343,134.4,1.93544,1.343,134.4,2.05641,1.343,134.4,2.29834,1.343,134.4,1.93544,1.343,134.4,0,1.343,134.4,2.05641,1.343,134.4
3.62896,1.345,134.6,1.81448,1.345,134.6,3.1451,1.345,134.6,2.7822,1.345,134.6,1.93544,1.345,134.6,2.05641,1.345,134.6,2.29834,1.345,134.6,1.93544,1.345,134.6,0,1.345,134.6,2.17737,1.345,134.6
3.74992,1.347,134.8,1.81448,1.347,134.8,3.26606,1.347,134.8,2.90317,1.347,134.8,1.93544,1.347,134.8,2.17737,1.347,134.8,2.17737,1.347,134.8,1.93544,1.347,134.8,0,1.347,134.8,2.05641,1.347,134.8
3.74992,1.349,135,1.81448,1.349,135,3.26606,1.349,135,2.7822,1.349,135,1.93544,1.349,135,2.17737,1.349,135,2.29834,1.349,135,1.93544,1.349,135,0,1.349,135,2.17737,1.349,135
3.74992,1.351,135.2,1.81448,1.351,135.2,3.38703,1.351,135.2,2.90317,1.351,135.2,1.93544,1.351,135.2,2.17737,1.351,135.2,2.4193,1.351,135.2,1.93544,1.351,135.2,0,1.351,135.2,2.17737,1.351,135.2
3.74992,1.353,135.4,1.93544,1.353,135.4,3.50799,1.353,135.4,2.90317,1.353,135.4,2.05641,1.353,135.4,2.17737,1.353,135.4,2.4193,1.353,135.4,2.05641,1.353,135.4,0,1.353,135.4,2.17737,1.353,135.4
3.62896,1.355,135.6,1.93544,1.355,135.6,3.26606,1.355,135.6,2.90317,1.355,135.6,1.93544,1.355,135.6,2.17737,1.355,135.6,2.4193,1.355,135.6,2.05641,1.355,135.6,0,1.355,135.6,2.17737,1.355,135.6
3.74992,1.357,135.8,1.93544,1.357,135.8,3.26606,1.357,135.8,2.90317,1.357,135.8,2.05641,1.357,135.8,2.29834,1.357,135.8,2.54027,1.357,135.8,2.05641,1.357,135.8,0,1.357,135.8,2.17737,1.357,135.8
3.74992,1.359,136,2.05641,1.359,136,3.1451,1.359,136,3.02413,1.359,136,2.17737,1.359,136,2.29834,1.359,136,2.4193,1.359,136,2.05641,1.359,136,0,1.359,136,2.17737,1.359,136
3.74992,1.361,136.2,2.05641,1.361,136.2,3.1451,1.361,136.2,3.02413,1.361,136.2,2.05641,1.361,136.2,2.29834,1.361,136.2,2.29834,1.361,136.2,2.17737,1.361,136.2,0,1.361,136.2,2.17737,1.361,136.2
3.74992,1.363,136.4,2.17737,1.363,136.4,3.1451,1.363,136.4,3.02413,1.363,136.4,1.93544,1.363,136.4,2.29834,1.363,136.4,2.4193,1.363,136.4,2.17737,1.363,136.4,0,1.363,136.4,2.4193,1.363,136.4
